K_Ax,K_Ay,K_Az,class
3.3614521473619288,8.980623011680937,-1.3004362897921293,0.0
3.3729092028211487,8.971478944237232,-1.270986852163939,0.0
3.391370972159801,8.988859439201125,-1.2568599319681149,0.0
3.4026254845384027,9.037712837879115,-1.2712028211126094,0.0
3.39800895487746,9.017758988938922,-1.272294806752493,0.0
3.379891446370356,8.997943278450697,-1.2423540589494468,0.0
3.3458919731075514,9.02412143148896,-1.258534065406197,0.0
3.3328171019043977,9.055383159964991,-1.3181330453024573,0.0
3.359278745699778,9.028531025735688,-1.3009040250449895,0.0
3.3562810539631953,9.008335843548926,-1.2942268154401504,0.0
3.3582794301087926,8.992198817858014,-1.313111136043639,0.0
3.325065424259154,9.001490518588513,-1.286365196744221,0.0
3.3354242096053555,8.991851631400614,-1.2815379698050027,0.0
3.3302616341787514,9.024233695976683,-1.2977242572739436,0.0
3.3653725112106514,9.028670966981396,-1.2731593695389354,0.0
3.3867765160452143,9.019898566557313,-1.2620101285800427,0.0
3.3806956279341724,9.014550807772558,-1.2666908329403053,0.0
3.380814451198056,9.00746494653956,-1.2274603972304463,0.0
3.380886887261453,9.037577561463888,-1.2494547135247784,0.0
3.4038858714885034,9.048282957971425,-1.2705143169830686,0.0
3.402603106022153,9.050983289580435,-1.2795266952957443,0.0
3.3712146819302884,9.04880363919317,-1.3079755737806456,0.0
3.3367767107554687,9.051300702995583,-1.298537714971037,0.0
3.3234345260522797,9.0298681161986,-1.3272165244266223,0.0
3.326778386036306,9.032105776016792,-1.2911382035095205,0.0
3.359423277660461,9.021992466665038,-1.276796042252562,0.0
3.3448917491772967,9.015827273979545,-1.3216141530380865,0.0
3.3513363755539833,9.031197921745843,-1.3030261493865531,0.0
3.351439291427784,9.052045463122747,-1.3069979006471844,0.0
3.362979443332675,9.041799543932047,-1.336199757809283,0.0
3.3661886516793538,9.004947075593309,-1.2927886841615963,0.0
3.371970827337253,8.986307180544276,-1.2892796079025988,0.0
3.3793215142208473,9.017027928936512,-1.2680114116623424,0.0
3.368499362094126,9.016626637605968,-1.3086073298170147,0.0
3.3542504417081735,8.966646548588955,-1.287445427729361,0.0
3.3493899361406463,8.98208774941576,-1.2515900562257578,0.0
3.3464269146082803,9.033584735901702,-1.2412096119527387,0.0
3.348446426119365,9.034371471232015,-1.2807912233644836,0.0
3.357329152943055,9.00807044363066,-1.2781400098776783,0.0
3.3742215811766534,8.988211222545589,-1.2650463856861471,0.0
3.3921710134871783,9.041143481750401,-1.2800191842644426,0.0
3.3763325684298264,9.061934198218667,-1.3541854535623365,0.0
3.3858062874368393,9.032524615936405,-1.3420110203800901,0.0
3.418362209042733,9.018421992029621,-1.284853885204905,0.0
3.388473225821349,9.002173257347481,-1.2806166564619992,0.0
3.3817299622294468,8.965487206262539,-1.278033591834593,0.0
3.36231597162938,8.973729391874286,-1.2802847295572168,0.0
3.3466551695452758,9.001708751802893,-1.2854828540605263,0.0
3.3332823554561086,8.999636277725317,-1.3039549096444942,0.0
3.283046281925771,8.986895459904922,-1.3037382794654406,0.0
3.2600733876596384,8.998257529017668,-1.2959546103699837,0.0
3.269023666656706,9.005183980384828,-1.302687007041168,0.0
3.3280411237972927,9.024709644413722,-1.2723589159502091,0.0
3.371670470669965,9.032786915154663,-1.250044749455421,0.0
3.3600093912963134,9.041536719075653,-1.228790161541725,0.0
3.356726464138122,9.050696507156939,-1.2617427667100396,0.0
3.3508993486230785,9.071583639592983,-1.2703536503817192,0.0
3.370301896612094,9.084316681927275,-1.3062093817798817,0.0
3.4050847451024233,9.088253090352003,-1.3204158498402514,0.0
3.395682344737305,9.067697945016441,-1.34437949792621,0.0
3.3478666822513152,9.05516728593499,-1.3628138248851032,0.0
3.314891885936772,9.059005861511432,-1.3587483904997455,0.0
3.290964256715041,9.042216880508821,-1.3218378142168892,0.0
3.280203496063452,8.989898271328219,-1.2725560607485837,0.0
3.304250044558779,8.992436469502104,-1.2960745839467673,0.0
3.3150832998024184,9.02841602457395,-1.2683279048264444,0.0
3.3408164019535707,9.027394759440993,-1.3126260721748388,0.0
3.367981017767261,9.007643162211377,-1.2860694960875998,0.0
3.3845408880227668,9.022382986274275,-1.3119641423274588,0.0
3.3563779363701474,9.031368556905742,-1.3430530417147089,0.0
3.3200804468531566,9.017717244806736,-1.3275729620082015,0.0
3.3323853085718893,9.020872657083558,-1.3219619271951262,0.0
